job_name,company,location,department,easy_apply,remote,salary,urgently_hiring,company_rating
RESEARCH CORROSION ENGINEER/INGENIEUR R&D CORROSION H/F,Constellium,Voreppe,38,True,False,null,False,3.4
Data Engineer / Scientist / Freelance,FREELANCE VISION,Niort,79,False,False,null,False,null
Engineer in applied mathematics and scientific computing,ADAGOS,Toulouse,31,True,False,null,False,null
iCloud Drive - Data Analytics Engineer,Apple,Paris,75,False,False,null,False,4.2
Consultant Data Engineer #kubernetes #ELK #Ansible H/F,Devoteam,Levallois-Perret,92,False,False,null,False,3.8
Data Analyst � LA marketplace r�f�rente en France,Konekt,Paris 10e,75,False,False,50 000 � - 55 000 � par an,False,null
DATA SCIENTIST-ENGINEERS,Axance,Paris 18e,75,False,False,42 000 � par an,False,4.0
Data Engineer,Ippon,Paris,75,False,False,null,False,null
IoT Engineer,WeMaintain,Paris 3e,75,True,False,null,False,null
Data Engineer Confirm� - Big Data F/H,Micropole,Levallois-Perret,92,False,False,null,False,3.2
Escalation Engineer,Microsoft,Paris,75,False,False,null,False,4.2
Data Scientist,Saagie,France,unknown,False,False,null,False,null
Solution Engineer,Viavi Solutions,Saint-�tienne,42,False,False,null,False,3.7
Junior ML Engineer - Automation,BLABLACAR,Paris,75,False,False,null,False,3.7
Data engineer H/F,EXTERNATIC,Rennes,35,False,False,null,False,5.0
Data Engineer,FABERNOVEL,Paris,75,False,False,null,False,null
R&D Device Architecture Development Engineer M/F,STMicroelectronics,Rousset,13,False,False,null,False,4.1
Data analyst (H/F) / Freelance,FREELANCR,Lille,59,False,False,300 � par jour,False,null
